,Value
2016-12-15,3.75
2016-12-16,3.75
2016-12-19,3.75
2016-12-20,3.75
2016-12-21,3.75
2016-12-22,3.75
2016-12-23,3.75
2016-12-26,
2016-12-27,3.75
2016-12-28,3.75
2016-12-29,3.75
2016-12-30,3.75
2017-01-02,
2017-01-03,3.75
2017-01-04,3.75
2017-01-05,3.75
2017-01-06,3.75
2017-01-09,3.75
2017-01-10,3.75
2017-01-11,3.75
2017-01-12,3.75
2017-01-13,3.75
2017-01-16,
2017-01-17,3.75
2017-01-18,3.75
2017-01-19,3.75
2017-01-20,3.75
2017-01-23,3.75
2017-01-24,3.75
2017-01-25,3.75
2017-01-26,3.75
2017-01-27,3.75
2017-01-30,3.75
2017-01-31,3.75
2017-02-01,3.75
2017-02-02,3.75
2017-02-03,3.75
2017-02-06,3.75
2017-02-07,3.75
2017-02-08,3.75
2017-02-09,3.75
2017-02-10,3.75
2017-02-13,3.75
2017-02-14,3.75
2017-02-15,3.75
2017-02-16,3.75
2017-02-17,3.75
2017-02-20,
2017-02-21,3.75
2017-02-22,3.75
2017-02-23,3.75
2017-02-24,3.75
2017-02-27,3.75
2017-02-28,3.75
2017-03-01,3.75
2017-03-02,3.75
2017-03-03,3.75
2017-03-06,3.75
2017-03-07,3.75
2017-03-08,3.75
2017-03-09,3.75
2017-03-10,3.75
2017-03-13,3.75
2017-03-14,3.75
2017-03-15,3.75
2017-03-16,4.0
2017-03-17,4.0
2017-03-20,4.0
2017-03-21,4.0
2017-03-22,4.0
2017-03-23,4.0
2017-03-24,4.0
2017-03-27,4.0
2017-03-28,4.0
2017-03-29,4.0
2017-03-30,4.0
2017-03-31,4.0
2017-04-03,4.0
2017-04-04,4.0
2017-04-05,4.0
2017-04-06,4.0
2017-04-07,4.0
2017-04-10,4.0
2017-04-11,4.0
2017-04-12,4.0
2017-04-13,4.0
2017-04-14,4.0
2017-04-17,4.0
2017-04-18,4.0
2017-04-19,4.0
2017-04-20,4.0
2017-04-21,4.0
2017-04-24,4.0
2017-04-25,4.0
2017-04-26,4.0
2017-04-27,4.0
2017-04-28,4.0
2017-05-01,4.0
2017-05-02,4.0
2017-05-03,4.0
2017-05-04,4.0
2017-05-05,4.0
2017-05-08,4.0
2017-05-09,4.0
2017-05-10,4.0
2017-05-11,4.0
2017-05-12,4.0
2017-05-15,4.0
2017-05-16,4.0
2017-05-17,4.0
2017-05-18,4.0
2017-05-19,4.0
2017-05-22,4.0
2017-05-23,4.0
2017-05-24,4.0
2017-05-25,4.0
2017-05-26,4.0
2017-05-29,4.0
2017-05-30,4.0
2017-05-31,4.0
2017-06-01,4.0
2017-06-02,4.0
2017-06-05,4.0
2017-06-06,4.0
2017-06-07,4.0
2017-06-08,4.0
2017-06-09,4.0
2017-06-12,4.0
